id,time,latitude,longitude,mag,magType,place,type,status,locationSource,state
nc73706231,2022-03-16 00:51:13.150000+00:00,38.8293333,-122.7976667,0.26,md,"6km W of Cobb, CA",earthquake,reviewed,nc,US-CA
us6000h6fy,2022-03-16 00:49:51.188000+00:00,14.0863,119.4496,4.6,mb,"68 km WNW of Cabra, Philippines",earthquake,reviewed,us,
us6000h4ww,2022-03-16 00:39:06.213000+00:00,-20.0087,-175.7836,5.4,mww,"139 km NNW of Nuku‘alofa, Tonga",earthquake,reviewed,us,
uu60485787,2022-03-16 00:37:46.920000+00:00,38.2753333,-108.9305,2.21,md,"28 km E of La Sal, Utah",earthquake,reviewed,uu,US-CO
nc73706221,2022-03-16 00:37:11.100000+00:00,38.8294983,-122.7956696,0.85,md,"6km W of Cobb, CA",earthquake,automatic,nc,US-CA
us6000h4wu,2022-03-16 00:34:48.618000+00:00,22.1546,120.8245,4.3,mb,"18 km NNE of Hengchun, Taiwan",earthquake,reviewed,us,TW-PIF
nc73706216,2022-03-16 00:34:13.510000+00:00,38.83,-122.7965,0.51,md,"6km W of Cobb, CA",earthquake,reviewed,nc,US-CA
ak0223g1gxvu,2022-03-16 00:27:58.509000+00:00,63.0983,-151.4796,1.0,ml,"50 km SSE of Denali National Park, Alaska",earthquake,reviewed,ak,US-AK
pr71340368,2022-03-16 00:25:02.950000+00:00,17.9391666666667,-66.8526666666667,2.16,md,"5 km SE of Maria Antonia, Puerto Rico",earthquake,reviewed,pr,US-PR
ak0223g1ew7c,2022-03-16 00:18:02.692000+00:00,63.5569,-147.3294,0.8,ml,"80 km ESE of Denali Park, Alaska",earthquake,reviewed,ak,US-AK
us6000h4wn,2022-03-16 00:09:30.323000+00:00,14.1384,119.2961,5.2,mww,"85 km WNW of Cabra, Philippines",earthquake,reviewed,us,
av91513961,2022-03-16 00:07:27.420000+00:00,60.0616666666667,-153.039,-0.45,ml,"67 km ENE of Pedro Bay, Alaska",earthquake,reviewed,av,US-AK
mb80540604,2022-03-16 00:07:19.490000+00:00,45.2531667,-112.771,1.07,ml,"11 km WNW of Dillon, Montana",earthquake,reviewed,mb,US-MT
nn00835393,2022-03-16 00:00:40.836000+00:00,38.1482,-117.9903,1.3,ml,"28 km SSE of Mina, Nevada",earthquake,reviewed,nn,US-NV
uu60485782,2022-03-16 00:00:06.400000+00:00,39.4211667,-110.3061667,1.71,md,"16 km SSE of Sunnyside, Utah",earthquake,reviewed,uu,US-UT
tx2022fffd,2022-03-15 23:57:27.728000+00:00,31.68499988,-104.4127629,2.1,ml,"54 km S of Whites City, New Mexico",earthquake,reviewed,tx,US-TX
mb80540599,2022-03-15 23:54:12.190000+00:00,45.2571667,-112.7636667,0.96,ml,"10 km WNW of Dillon, Montana",earthquake,reviewed,mb,US-MT
ak0223ers8ek,2022-03-15 23:54:03.455000+00:00,57.8078,-157.377,2.7,ml,"29 km NNE of Pilot Point, Alaska",earthquake,reviewed,ak,US-AK
ak0223err1fv,2022-03-15 23:48:53.215000+00:00,62.326,-151.9526,1.2,ml,"47 km NW of Skwentna, Alaska",earthquake,reviewed,ak,US-AK
